0,1,2
Deadpool 2,2.3650062787777313,0.028153153153153154
Avengers: Infinity War,2.1557136877354544,0.6475225225225225
It,1.4650481372959396,0.028153153153153154
Black Panther,1.3394725826705736,0.22522522522522523
Deadpool,1.2348262871494349,0.8164414414414415
Click,0.9208874005860193,0.028153153153153154
The Avengers,0.8999581414817915,0.9290540540540541
Game Night,0.7743825868564252,0.16891891891891891
Inception,0.6906655504395144,0.5912162162162162
Die Hard,0.6278777731268314,0.9853603603603603
The Incredibles,0.5860192549183759,0.6193693693693694
A Quiet Place,0.5650899958141482,0.14076576576576577
Scary Movie,0.5023022185014651,0.028153153153153154
Fight Club,0.5023022185014651,0.08445945945945946
Incredibles 2,0.5023022185014651,0.028153153153153154
Get Out,0.48137295939723734,0.4222972972972973
Frozen,0.48137295939723734,0.08445945945945946
Super Troopers,0.46044370029300963,0.08445945945945946
Ghostbusters,0.46044370029300963,0.028153153153153154
The Shining,0.4185851820845542,0.4222972972972973
Girls Trip,0.4185851820845542,0.028153153153153154
Superbad,0.4185851820845542,0.6475225225225225
Coco,0.4185851820845542,0.08445945945945946
Pineapple Express,0.37672666387609877,0.16891891891891891
Pretty Woman,0.37672666387609877,0.028153153153153154
Rush Hour,0.35579740477187105,0.36599099099099097
Titanic,0.35579740477187105,0.028153153153153154
Thor: Ragnarok,0.35579740477187105,0.08445945945945946
The Hangover,0.35579740477187105,6.278153153153153
Guardians of the Galaxy,0.35579740477187105,0.16891891891891891
The Cabin in the Woods,0.35579740477187105,0.16891891891891891
The Notebook,0.3348681456676434,1.6610360360360361
Saw,0.3139388865634157,0.05630630630630631
Up,0.3139388865634157,0.028153153153153154
Life of the Party,0.3139388865634157,0.028153153153153154
A Nightmare on Elm Street,0.29300962745918796,0.05630630630630631
Step Brothers,0.29300962745918796,0.22522522522522523
Scream,0.29300962745918796,0.08445945945945946
The Dark Knight,0.29300962745918796,3.9132882882882885
The Lion King,0.29300962745918796,2.027027027027027
The Other Woman,0.29300962745918796,0.028153153153153154
La La Land,0.27208036835496024,0.9572072072072072
Bridesmaids,0.27208036835496024,3.350225225225225
Gone Girl,0.27208036835496024,0.08445945945945946
Seven,0.27208036835496024,0.028153153153153154
The Shape of Water,0.27208036835496024,0.16891891891891891
The Exorcist,0.25115110925073253,0.4786036036036036
Friday the 13th,0.25115110925073253,0.05630630630630631
Happy Gilmore,0.25115110925073253,0.4786036036036036
Fargo,0.25115110925073253,0.08445945945945946
Jurassic Park,0.25115110925073253,0.05630630630630631
Hot Fuzz,0.25115110925073253,0.028153153153153154
Toy Story,0.25115110925073253,1.0698198198198199
Moana,0.25115110925073253,0.6475225225225225
The Mask,0.23022185014650481,0.16891891891891891
The Big Lebowski,0.23022185014650481,0.28153153153153154
John Wick,0.23022185014650481,2.224099099099099
Halloween,0.23022185014650481,0.3096846846846847
Goodfellas,0.23022185014650481,0.11261261261261261
