0,1,2
Deadpool 2,2.3650062787777313,0.5912162162162162
Avengers: Infinity War,2.1557136877354544,3.519144144144144
It,1.4650481372959396,0.05630630630630631
Black Panther,1.3394725826705736,0.3096846846846847
Deadpool,1.2348262871494349,2.6463963963963963
Click,0.9208874005860193,0.33783783783783783
The Avengers,0.8999581414817915,0.08445945945945946
Game Night,0.7743825868564252,0.7319819819819819
Inception,0.6906655504395144,2.2522522522522523
Die Hard,0.6278777731268314,0.5067567567567568
The Incredibles,0.5860192549183759,1.1261261261261262
A Quiet Place,0.5650899958141482,0.14076576576576577
Scary Movie,0.5023022185014651,0.2533783783783784
Fight Club,0.5023022185014651,0.6756756756756757
Incredibles 2,0.5023022185014651,0.22522522522522523
Get Out,0.48137295939723734,0.39414414414414417
Frozen,0.48137295939723734,0.08445945945945946
Super Troopers,0.46044370029300963,1.829954954954955
Ghostbusters,0.46044370029300963,0.11261261261261261
The Shining,0.4185851820845542,0.14076576576576577
Girls Trip,0.4185851820845542,0.33783783783783783
Superbad,0.4185851820845542,0.4786036036036036
Coco,0.4185851820845542,0.08445945945945946
Pineapple Express,0.37672666387609877,0.19707207207207209
Elf,0.37672666387609877,0.05630630630630631
Pretty Woman,0.37672666387609877,0.11261261261261261
American Pie,0.35579740477187105,0.08445945945945946
Rush Hour,0.35579740477187105,0.28153153153153154
Titanic,0.35579740477187105,0.08445945945945946
Thor: Ragnarok,0.35579740477187105,0.16891891891891891
The Hangover,0.35579740477187105,0.14076576576576577
Guardians of the Galaxy,0.35579740477187105,0.5067567567567568
The Cabin in the Woods,0.35579740477187105,0.16891891891891891
The Notebook,0.3348681456676434,0.2533783783783784
Saw,0.3139388865634157,0.8445945945945946
Up,0.3139388865634157,0.19707207207207209
Life of the Party,0.3139388865634157,0.05630630630630631
Natural Born Killers,0.3139388865634157,0.028153153153153154
A Nightmare on Elm Street,0.29300962745918796,0.3096846846846847
Step Brothers,0.29300962745918796,0.11261261261261261
Scream,0.29300962745918796,0.08445945945945946
The Dark Knight,0.29300962745918796,0.33783783783783783
The Lion King,0.29300962745918796,0.22522522522522523
The Other Woman,0.29300962745918796,0.22522522522522523
La La Land,0.27208036835496024,0.5630630630630631
Bridesmaids,0.27208036835496024,0.11261261261261261
Gone Girl,0.27208036835496024,0.14076576576576577
The Shape of Water,0.27208036835496024,0.6193693693693694
Ocean's 8,0.27208036835496024,0.05630630630630631
The Exorcist,0.25115110925073253,0.22522522522522523
Spider Man: Homecoming,0.25115110925073253,0.028153153153153154
Friday the 13th,0.25115110925073253,0.08445945945945946
Happy Gilmore,0.25115110925073253,0.2533783783783784
Fargo,0.25115110925073253,0.14076576576576577
Jurassic Park,0.25115110925073253,0.08445945945945946
Jigsaw,0.25115110925073253,0.028153153153153154
Hot Fuzz,0.25115110925073253,1.8018018018018018
Toy Story,0.25115110925073253,0.14076576576576577
Moana,0.25115110925073253,0.14076576576576577
Super Troopers 2,0.25115110925073253,0.08445945945945946
The Mask,0.23022185014650481,0.16891891891891891
The Big Lebowski,0.23022185014650481,0.05630630630630631
John Wick,0.23022185014650481,0.14076576576576577
Halloween,0.23022185014650481,0.05630630630630631
Goodfellas,0.23022185014650481,0.05630630630630631
I Now Pronounce You Chuck & Larry,0.23022185014650481,0.08445945945945946
Pulp Fiction,0.23022185014650481,0.19707207207207209
50 First Dates,0.23022185014650481,4.983108108108108
Fun with Dick and Jane,0.23022185014650481,0.08445945945945946
Taken,0.23022185014650481,0.16891891891891891
The Usual Suspects,0.23022185014650481,0.08445945945945946
Lars and the Real Girl,0.23022185014650481,0.05630630630630631
You Don't Mess with the Zohan,0.2092925910422771,0.14076576576576577
The Waterboy,0.2092925910422771,0.11261261261261261
The Wedding Singer,0.2092925910422771,0.4222972972972973
The Silence of the Lambs,0.2092925910422771,0.4222972972972973
Knocked Up,0.2092925910422771,0.05630630630630631
The Greatest Showman,0.2092925910422771,0.9290540540540541
The Goonies,0.2092925910422771,0.028153153153153154
Saving Private Ryan,0.2092925910422771,0.4222972972972973
Dunkirk,0.2092925910422771,0.028153153153153154
Ant Man,0.18836333193804938,0.14076576576576577
The Conjuring,0.18836333193804938,0.33783783783783783
Talladega Nights: The Ballad of Ricky Bobby,0.18836333193804938,0.08445945945945946
Back to the Future,0.18836333193804938,0.05630630630630631
The Big Sick,0.18836333193804938,0.11261261261261261
Horrible Bosses,0.18836333193804938,0.05630630630630631
Finding Nemo,0.18836333193804938,0.22522522522522523
Interstellar,0.18836333193804938,0.11261261261261261
Peter Rabbit,0.18836333193804938,0.028153153153153154
Jumanji,0.18836333193804938,0.028153153153153154
Groundhog Day,0.18836333193804938,0.19707207207207209
Guardians of the Galaxy Vol. 2,0.18836333193804938,0.08445945945945946
Shaun of the Dead,0.18836333193804938,0.19707207207207209
When Harry Met Sally...,0.18836333193804938,0.36599099099099097
Half Baked,0.18836333193804938,0.14076576576576577
Ferdinand,0.18836333193804938,0.19707207207207209
Happy Death Day,0.1674340728338217,0.05630630630630631
Iron Man,0.1674340728338217,0.08445945945945946
The Godfather,0.1674340728338217,0.33783783783783783
Lady Bird,0.1674340728338217,0.14076576576576577
Love Actually,0.1674340728338217,0.11261261261261261
Shutter Island,0.1674340728338217,0.11261261261261261
Independence Day,0.1674340728338217,0.028153153153153154
The Sixth Sense,0.1674340728338217,0.39414414414414417
The Matrix,0.1674340728338217,0.11261261261261261
Memento,0.1674340728338217,0.05630630630630631
Dumb and Dumber,0.1674340728338217,0.39414414414414417
Mama,0.1674340728338217,0.05630630630630631
Meet the Fockers,0.1674340728338217,0.19707207207207209
There's Something About Mary,0.14650481372959398,0.028153153153153154
Scarface,0.14650481372959398,0.05630630630630631
